Entity Identifier,SKU Code,Product Name,Category Code,Brand Code,Product Subtitle,Tax Applicable,TaxOrHSN Code,Product Description,Article Description,Article Code,Article Type,Tags Keyword,Meta Title,Meta Keyword,Meta Description,Location Group,Vendor,Is Active(Y/N),Is Publish(Y/N),Is customizable? (Y/N),Is 'New Arrival',Is Try at Store,Is Try at Home,Is Try On,Is Price on Request,Is Free Shipping?,Product Net weight,Product Net weight Unit,Length,Item Display Width,Item Display Height,Unit of LWH Dimension,Min Quantity allowed in shopping cart,Max Quantity allowed in shopping cart,Delivery Type,Store Code,Is Gift Wrap,Is inscription,Is Pick Up at store,Is EMI available,Product Video,PDP Image 1,PDP Image 2,PDP Image 3,PDP Image 4,PDP Image 5,PDP Image 6,PDP Image 7,PDP Image 8,PDP Image 9,PDP Image 10,PDP Image 11,PDP Image 12,PDP Image 13,PDP Image 14,PDP Image 15,PLP Preview Image 1 ,PLP Preview Image 2,PLP Preview Image 3,Collection,HighJewellery Flag ,Parent Theme,Child Theme,Segment,Gender,Certitificate Codes,Jewel Type,Product Gross Weight,Product Gross Weight Unit,Item Diameter,Item Diameter Units,Bracelet Length,Ring Size,Bangle Sizes,Purity,Polish Type,Screw Type,Setting Type,Finish,Style or Season or Occasion,Metal Type,Metal Name,Metal Color,Is 'Trendy Fashion',Pendant Loop Type,Hook Type,Bangle Shape,Pattern,Rows,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9,Attribute_10,Product Highlights,pieces,Pieces UOM,Is Returnable,Is Cancellable
CR_entityIdentifier,CR_SKUCode,CR_ProductName,CR_CategoryCode,CR_BrandCode,CR_ProductTitle,CR_ShowPriceTaxIncl,CR_TaxCode,CR_ProductDesc,CR_ArticleDesc,CR_ArticleCode,CR_ProductType,CR_Tags,CR_MetaTitle,CR_MetaKeyword,CR_MetaDescription,CR_LocationGroup,CR_SupplierCode,CR_IsActive,CR_IsPublish,CR_IsCustomizable,CR_IsNewArrival,CR_Ex-BoolFlag1,CR_Ex-BoolFlag2,CR_Ex-BoolFlag3,CR_Ex-BoolFlag4,CR_IsFreeShipping,VARIANT_Weight,VARIANT_WeightUnit,VARIANT_ItemLength,VARIANT_ItemWidth,VARIANT_ItemHeight,VARIANT_LWH-Unit,CR_MinPurchaseQuantity,CR_MaxPurchaseQuantity,CR_DeliveryType,CR_StoreCode,CR_Gift-Wrap,CR_IsAlterable,CR_ClickAndCollect,CR_EmiAvailable,CR_Video,CR_IMG-PDP_1,CR_IMG-PDP_2,CR_IMG-PDP_3,CR_IMG-PDP_4,CR_IMG-PDP_5,CR_IMG-PDP_6,CR_IMG-PDP_7,CR_IMG-PDP_8,CR_IMG-PDP_9,CR_IMG-PDP_10,CR_IMG-PDP_11,CR_IMG-PDP_12,CR_IMG-PDP_13,CR_IMG-PDP_14,CR_IMG-PDP_15,CR_IMG-PLP_1,CR_IMG-PLP_2,CR_IMG-PLP_3,ATTR_Collection,ATTR_HighJewelleryFlag,ATTR_Parent-Theme,ATTR_Child-Theme,ATTR_Segment,ATTR_Gender,ATTR_Certificate-Codes,VARIANT_JewelType,VARIANT_ProductGrossWeight,VARIANT_ProductGrossWeightUnit,VARIANT_ItemDiameter,VARIANT_ItemDiameterUnits,ATTR_Bracelet-Length,VARIANT_Ring-Size,VARIANT_Bangle-Size,VARIANT_Purity,VARIANT_Polish-Type,VARIANT_Screw-Type,ATTR_Setting-Type,ATTR_Finish,ATTR_Style-Season-Occasion,ATTR_Metal-Type,ATTR_Metal-Name,ATTR_Metal-Color,ATTR_Trendy-Fashion,VARIANT_Pendant-Loop-Type,VARIANT_Hook-Type,VARIANT_Bangle-Shape,ATTR_Pattern-Chains,ATTR_Rows-Chains,ATTR_Attribute-1,ATTR_Attribute-2,ATTR_Attribute-3,ATTR_Attribute-4,ATTR_Attribute-5,ATTR_Attribute-6,ATTR_Attribute-7,ATTR_Attribute-8,ATTR_Attribute-9,ATTR_Attribute-10,ATTR_ProductHighlights,ATTR_pieces,VARIANT_UOM,CR_RETURNABLE,CR_CANCELLABLE
Entity Identifier,Unique SKU/Variant Code,Name of Product,CategoryCode,BrandCode,Title of product,Whether to show price inclusive of Tax,HSN code is a 6-digit uniform code that classifies 5000+ products and is accepted worldwide.,Decription of product,Article Description,Article Code of the product (for accessories article code is the SKU code),Article Type,Comma separated multiple values,Meta Title of product,Meta Keyword of product,Meta Description of product,LocationGroup,Unique Vendor Code,Whether Product is active?,Product is Published,Cstomization possible or not,Is Product is a New Arrival?, Try at Store,Try at Home,Try On,Is Price on Request,Is Free Shipping,Weight of product,Unit weight of product,Item Length,Item Width,Item Height,Unit of LWH Dimension,Min Purchase Quantity ,Max Purchase Quantity of product,Type of Delivery(Standard/Express),StoreCode,Gift Wrap,Is inscription,Is Pick Up at store,EMI available,Product Video,PDP Image,PDP Image2,PDP Image3,PDP Image4,PDP Image5,PDP Image 6,PDP Image 7,PDP Image 8,PDP Image 9,PDP Image 10,PDP Image 11,PDP Image 12,PDP Image 13,PDP Image 14,PDP Image 15,PLP Preview Image 1 ,PLP Preview Image 2,PLP Preview Image 3,Collection,High Jewellery,Parent Theme,Child Theme,Segment of the product,Gender,Certitificate Codes,Jewel Type,Product Gross Weight,Product Gross Weight Unit,ItemDiameter,Item Diameter Units,Bracelet Length,Ring Size,Bangle Size,Purity,Polish Type,Screw Type,Setting Type,Finish,Style or Season or Occasion,Metal Type,Metal Name,Metal Color,Trendy Fashion,Pendant Loop Type,Hook Type,Bangle Shape,Patter,Rows,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9,Attribute 10,Product Highlights: Multiple highlights separated by '@@' ,Pieces,Pieces UOM,Is Returnable,Is Cancellable
OPTION,TextField,TextField,OPTION,OPTION,TextField,OPTION,TextField,TextField,TextField,TextField,OPTION,TextField,TextField,TextField,TextField,OPTION,TextField,Boolean,Boolean,Boolean,Boolean,Boolean,Boolean,Boolean,Boolean,Boolean,INTEGER,OPTION,OPTION,TextField,TextField,OPTION,INTEGER,INTEGER,OPTION,OPTION,Boolean,Boolean,Boolean,Boolean,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,OPTION,Boolean,OPTION,OPTION,OPTION,OPTION,OPTION,OPTION,INTEGER,OPTION,TextField,OPTION,INTEGER,OPTION,OPTION,OPTION,OPTION,OPTION,OPTION,TextField,TextField,TextField,TextField,TextField,Boolean,OPTION,OPTION,OPTION,TextField,INTEGER,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,TextField,OPTION,Boolean,Boolean
20,20,100,40,20,100,10,30,500,100,50,100,500,30,500,100,50,20,20,20,10,20,20,20,20,20,20,20,10,10,20,20,20,10,10,20,20,20,20,20,20,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,20,20,20,5,20,200,20,20,10,20,20,10,10,10,20,20,20,50,50,20,20,20,40,20,20,20,20,50,10,100,100,100,100,100,100,100,100,100,100,10000,20,20,20,20
Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Non Mandatory,Non Mandatory,Mandatory,Non Mandatory,Mandatory,Mandatory,Non Mandatory,Mandatory,Non Mandatory,Mandatory,Mandatory,Mandatory,Non Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Non Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Non Mandatory,Non Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Non Mandatory,Non Mandatory,Mandatory,Mandatory,Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory,Non Mandatory
Single Value,Single Value,Single Value,Multiple Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Multiple Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Multiple Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Single Value,Multiple Value,Single Value,Single Value,Single Value,Single Value
Product,Variant,Product,Product,Product,Product,Product,Product,Product,Variant,Variant,Product,Product,Product,Product,Product,Product,Variant,Product,Product,Product,Variant,Product,Product,Product,Product,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Product,Product,Product,Variant,Variant,Product,Variant,Product,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Variant,Product,Product,Product,Variant,Variant,Variant,Variant,Variant,Product,Product,Product,Product,Product,Product,Variant,Variant,Variant,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Variant,Variant,Variant,Variant,Variant
CKCS,CKC_0016662650,Elegance Redefined: Rhodolite Garnet & Diamond Gold Ring,DIAGEMDRN,CKC,Elegance Redefined: Rhodolite Garnet & Diamond Gold Ring,Y,71131930,"Exquisite and timeless, this stunning gold ring showcases a mesmerizing oval Rhodolite Garnet embraced by a sparkling cascade of diamonds. An embodiment of sophistication and grace, perfect for elevating any ensemble.",Diamond Ring Set With Gemstones,DRNAMD5621F,ZFNG,"gold ring, Rhodolite Garnet ring, diamond gold ring, elegant gemstone ring, luxury jewelry, garnet diamond ring, statement gold ring, precious gemstone jewelry, garnet and diamond ring, timeless gold ring",,"gold ring, Rhodolite Garnet ring, diamond gold ring, elegant gemstone ring, luxury jewelry, garnet diamond ring, statement gold ring, precious gemstone jewelry, garnet and diamond ring, timeless gold ring",,"India,America,Oceania,Asia",0000011159,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,3.504,Gms,,,,,1,1,STANDARD,S102,Yes,Yes,Yes,No,,0016662650_1.jpg,0016662650_2.jpg,0016662650_3.jpg,0016662650_4.jpg,,,,,,,,,,,,0016662650_1.jpg,0016662650_2.jpg,0016662650_3.jpg,CLASSIC COLLECTIONS,No,DRNAM,DRNAMD56,D,Women,,DRN,3.77,Gms,,,,11,,RGLD750, Usual,,,,,18kt,750,Gold,YES,,,,,,,,,,,,,,,,"This product is made in 18kt gold verified by BIS hallmark,Product dimensions mentioned are on approximation closest to the actual size.The bill is your certificate, please produce the bill for future transactions on all jewellery,silverware, giftware you purchase, diamond solitaires over quarter carat and certain rare gems may additionally have an external laboratory certificate,Diamond solitaires over quarter carat and certain rare gems may additionally have an external laboratory certificate",1,EA,Yes,Yes
CKCS,CKC_0016944084,Majestic Rhodolite Garnet Gold Stud Earrings,GLDGEMER,CKC,Majestic Rhodolite Garnet Gold Stud Earrings,Y,71131940,"Exude elegance with these intricately crafted gold stud earrings, adorned with vibrant Rhodolite Garnet stones. A timeless design for refined style.",Gemset Ear Stud- Opensetting,GTPAQG09D,ZFNG,"gold stud earrings, Rhodolite Garnet earrings, luxurious gold jewelry, garnet gold earrings, elegant stud earrings, gemstone gold earrings, classic gold earrings, premium gold accessories, handcrafted gold jewelry, garnet stone earrings",,"gold stud earrings, Rhodolite Garnet earrings, luxurious gold jewelry, garnet gold earrings, elegant stud earrings, gemstone gold earrings, classic gold earrings, premium gold accessories, handcrafted gold jewelry, garnet stone earrings",,"India,America,Oceania,Asia",0000040083,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,5.13,Gms,,,,,1,1,STANDARD,S102,Yes,Yes,Yes,No,,0016944084_1.jpg,0016944084_2.jpg,0016944084_3.jpg,0016944084_4.jpg,,,,,,,,,,,,0016944084_1.jpg,0016944084_2.jpg,0016944084_3.jpg,CLASSIC COLLECTIONS,No,GTPAQ,GTPAQG09,G,Women,,GTP,5.88,Gms,,,,,,RGLD916, Usual,Indian Screw,,,,22kt,916,Gold,YES,,,,,,,,,,,,,,,," This product is made in 22kt gold verified by BIS hallmark,Product dimensions mentioned are on approximation closest to the actual size.The bill is your certificate, please produce the bill for future transactions on all jewellery, silverware, giftware you purchase, diamond solitaires over quarter carat and certain rare gems may additionally have an external laboratory certificate,Diamond solitaires over quarter carat and certain rare gems may additionally have an external laboratory certificate",1,PAA,Yes,Yes
CKCS,CKC_0017213868,Regal Charm: Garnet-Studded Gold Ear Studs,GLDGEMER,CKC,Regal Charm: Garnet-Studded Gold Ear Studs,Y,71131940,"Exude timeless elegance with these exquisite gold ear studs featuring radiant garnet gemstones. A perfect blend of sophistication and minimalistic allure, ideal for any occasion.",TP set with single other gem - Open,GTPAQG25B,ZFNG,"gold ear studs, garnet ear studs, gemstone earrings, garnet gold earrings, elegant ear studs, luxury jewelry, garnet gemstone jewelry, precious gold studs, regal garnet earrings, minimal gold earrings",,"gold ear studs, garnet ear studs, gemstone earrings, garnet gold earrings, elegant ear studs, luxury jewelry, garnet gemstone jewelry, precious gold studs, regal garnet earrings, minimal gold earrings",,"India,America,Oceania,Asia",0000040083,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,2.14,Gms,,,,,1,1,STANDARD,S102,Yes,Yes,Yes,No,,0017213868_1.jpg,0017213868_2.jpg,0017213868_3.jpg,0017213868_4.jpg,,,,,,,,,,,,0017213868_1.jpg,0017213868_2.jpg,0017213868_3.jpg,CLASSIC COLLECTIONS,No,GTPAQ,GTPAQG25,G,Women,,GTP,2.56,Gms,,,,,,RGLD916, Usual,Indian Screw,Open Setting,,,22kt,916,Gold,YES,,,,,,,,,,,,,,,," This product is made in 22kt gold verified by BIS hallmark,Product dimensions mentioned are on approximation closest to the actual size.The bill is your certificate, please produce the bill for future transactions on all jewellery, silverware, giftware you purchase, diamond solitaires over quarter carat and certain rare gems may additionally have an external laboratory certificate,Diamond solitaires over quarter carat and certain rare gems may additionally have an external laboratory certificate",1,PAA,Yes,Yes
